"","ref.date","ipca","ipca_15","exfe","quarter","group"
"1",1994-02-01,40.27,NA,NA,1994 Q1,1994
"2",1994-04-01,42.68,NA,NA,1994 Q2,1994
"3",1994-07-01,6.84,NA,NA,1994 Q3,1994
"4",1994-10-01,2.62,NA,NA,1994 Q4,1994
"5",1995-01-01,1.7,NA,NA,1995 Q1,1995
"6",1995-04-01,2.43,NA,NA,1995 Q2,1995
"7",1995-07-01,2.36,NA,NA,1995 Q3,1995
"8",1995-10-01,1.41,NA,NA,1995 Q4,1995
"9",1996-01-01,1.34,NA,NA,1996 Q1,1996
"10",1996-04-01,1.26,NA,NA,1996 Q2,1996
"11",1996-07-01,1.11,NA,NA,1996 Q3,1996
"12",1996-10-01,0.3,NA,NA,1996 Q4,1996
"13",1997-01-01,1.18,NA,NA,1997 Q1,1997
"14",1997-04-01,0.88,NA,NA,1997 Q2,1997
"15",1997-07-01,0.22,NA,NA,1997 Q3,1997
"16",1997-10-01,0.23,NA,NA,1997 Q4,1997
"17",1998-01-01,0.71,NA,NA,1998 Q1,1998
"18",1998-04-01,0.24,NA,NA,1998 Q2,1998
"19",1998-07-01,-0.12,NA,NA,1998 Q3,1998
"20",1998-10-01,0.02,NA,NA,1998 Q4,1998
"21",1999-01-01,0.7,NA,NA,1999 Q1,1999
"22",1999-04-01,0.56,NA,NA,1999 Q2,1999
"23",1999-07-01,1.09,NA,NA,1999 Q3,1999
"24",1999-10-01,1.19,NA,0.94,1999 Q4,1999
"25",2000-01-01,0.62,NA,0.61,2000 Q1,2000
"26",2000-04-01,0.42,NA,0.71,2000 Q2,2000
"27",2000-07-01,1.61,0.78,0.66,2000 Q3,2000
"28",2000-10-01,0.14,0.18,0.19,2000 Q4,2000
"29",2001-01-01,0.57,0.63,0.47,2001 Q1,2001
"30",2001-04-01,0.58,0.5,0.32,2001 Q2,2001
"31",2001-07-01,1.33,0.94,0.95,2001 Q3,2001
"32",2001-10-01,0.83,0.37,0.5,2001 Q4,2001
"33",2002-01-01,0.52,0.62,0.57,2002 Q1,2002
"34",2002-04-01,0.8,0.78,0.47,2002 Q2,2002
"35",2002-07-01,1.19,0.77,0.92,2002 Q3,2002
"36",2002-10-01,1.31,0.9,0.77,2002 Q4,2002
"37",2003-01-01,2.25,1.98,1.64,2003 Q1,2003
"38",2003-04-01,0.97,1.14,0.92,2003 Q2,2003
"39",2003-07-01,0.2,-0.18,0.82,2003 Q3,2003
"40",2003-10-01,0.29,0.66,0.32,2003 Q4,2003
"41",2004-01-01,0.76,0.68,0.59,2004 Q1,2004
"42",2004-04-01,0.37,0.21,0.65,2004 Q2,2004
"43",2004-07-01,0.91,0.93,0.69,2004 Q3,2004
"44",2004-10-01,0.44,0.32,0.54,2004 Q4,2004
"45",2005-01-01,0.58,0.68,0.57,2005 Q1,2005
"46",2005-04-01,0.87,0.74,0.82,2005 Q2,2005
"47",2005-07-01,0.25,0.11,0.58,2005 Q3,2005
"48",2005-10-01,0.75,0.56,0.51,2005 Q4,2005
"49",2006-01-01,0.59,0.51,0.71,2006 Q1,2006
"50",2006-04-01,0.21,0.17,0.33,2006 Q2,2006
"51",2006-07-01,0.19,-0.02,0.21,2006 Q3,2006
"52",2006-10-01,0.33,0.29,0.27,2006 Q4,2006
"53",2007-01-01,0.44,0.52,0.46,2007 Q1,2007
"54",2007-04-01,0.25,0.22,0.28,2007 Q2,2007
"55",2007-07-01,0.24,0.24,0.18,2007 Q3,2007
"56",2007-10-01,0.3,0.24,0.36,2007 Q4,2007
"57",2008-01-01,0.54,0.7,0.42,2008 Q1,2008
"58",2008-04-01,0.55,0.59,0.47,2008 Q2,2008
"59",2008-07-01,0.53,0.63,0.43,2008 Q3,2008
"60",2008-10-01,0.45,0.3,0.45,2008 Q4,2008
"61",2009-01-01,0.48,0.4,0.46,2009 Q1,2009
"62",2009-04-01,0.48,0.36,0.58,2009 Q2,2009
"63",2009-07-01,0.24,0.22,0.2,2009 Q3,2009
"64",2009-10-01,0.28,0.18,0.26,2009 Q4,2009
"65",2010-01-01,0.75,0.52,0.6,2010 Q1,2010
"66",2010-04-01,0.57,0.48,0.45,2010 Q2,2010
"67",2010-07-01,0.01,-0.09,0.21,2010 Q3,2010
"68",2010-10-01,0.75,0.62,0.42,2010 Q4,2010
"69",2011-01-01,0.83,0.76,0.81,2011 Q1,2011
"70",2011-04-01,0.77,0.77,0.48,2011 Q2,2011
"71",2011-07-01,0.16,0.1,0.37,2011 Q3,2011
"72",2011-10-01,0.43,0.42,0.48,2011 Q4,2011
"73",2012-01-01,0.56,0.65,0.65,2012 Q1,2012
"74",2012-04-01,0.64,0.43,0.7,2012 Q2,2012
"75",2012-07-01,0.43,0.33,0.45,2012 Q3,2012
"76",2012-10-01,0.59,0.65,0.44,2012 Q4,2012
"77",2013-01-01,0.86,0.88,0.77,2013 Q1,2013
"78",2013-04-01,0.55,0.51,0.52,2013 Q2,2013
"79",2013-07-01,0.03,0.07,0.21,2013 Q3,2013
"80",2013-10-01,0.57,0.48,0.52,2013 Q4,2013
"81",2014-01-01,0.55,0.67,0.5,2014 Q1,2014
"82",2014-04-01,0.67,0.78,0.47,2014 Q2,2014
"83",2014-07-01,0.01,0.17,0.02,2014 Q3,2014
"84",2014-10-01,0.42,0.48,0.39,2014 Q4,2014
"85",2015-01-01,1.24,0.89,0.93,2015 Q1,2015
"86",2015-04-01,0.71,1.07,0.72,2015 Q2,2015
"87",2015-07-01,0.62,0.59,0.52,2015 Q3,2015
"88",2015-10-01,0.82,0.66,0.48,2015 Q4,2015
"89",2016-01-01,1.27,0.92,0.84,2016 Q1,2016
"90",2016-04-01,0.61,0.51,0.82,2016 Q2,2016
"91",2016-07-01,0.52,0.54,0.48,2016 Q3,2016
"92",2016-10-01,0.26,0.19,0.31,2016 Q4,2016
"93",2017-01-01,0.38,0.31,0.4,2017 Q1,2017
"94",2017-04-01,0.14,0.21,0.43,2017 Q2,2017
"95",2017-07-01,0.24,-0.18,0.16,2017 Q3,2017
"96",2017-10-01,0.42,0.34,0.34,2017 Q4,2017
"97",2018-01-01,0.29,0.39,0.2,2018 Q1,2018
"98",2018-04-01,0.22,0.21,0.21,2018 Q2,2018
"99",2018-07-01,0.33,0.64,0.45,2018 Q3,2018
"100",2018-10-01,0.45,0.58,0.21,2018 Q4,2018
"101",2019-01-01,0.32,0.3,0.39,2019 Q1,2019
"102",2019-04-01,0.57,0.72,0.46,2019 Q2,2019
"103",2019-07-01,0.19,0.09,0.25,2019 Q3,2019
"104",2019-10-01,0.1,0.09,0.21,2019 Q4,2019
"105",2020-01-01,0.21,0.71,0.13,2020 Q1,2020
"106",2020-04-01,-0.31,-0.01,-0.01,2020 Q2,2020
"107",2020-07-01,0.36,0.3,0.07,2020 Q3,2020
"108",2020-10-01,0.86,0.94,0.57,2020 Q4,2020
"109",2021-01-01,0.25,0.78,0.26,2021 Q1,2021
"110",2021-04-01,0.31,0.6,0.4,2021 Q2,2021
"111",2021-07-01,0.96,0.72,0.48,2021 Q3,2021
"112",2021-10-01,1.25,1.2,0.99,2021 Q4,2021
"113",2022-01-01,0.54,0.58,0.68,2022 Q1,2022
"114",2022-04-01,1.06,1.73,0.95,2022 Q2,2022
"115",2022-07-01,-0.68,0.13,0.66,2022 Q3,2022
"116",2022-10-01,0.59,0.16,0.73,2022 Q4,2022
"117",2023-01-01,0.53,0.55,0.55,2023 Q1,2023
"118",2023-04-01,0.61,0.57,0.69,2023 Q2,2023
"119",2023-07-01,0.12,-0.07,0.23,2023 Q3,2023
"120",2023-10-01,0.24,0.21,0.42,2023 Q4,2023
"121",2024-01-01,0.42,0.31,0.26,2024 Q1,2024
