"","FirstDate","gdpg","unrate","lbr_part","quarter","group"
"1",1994-01-01,5.85,NA,NA,1994 Q1,1994
"2",1995-01-01,4.22,4.42,NA,1995 Q1,1995
"3",1996-01-01,2.21,5.26,NA,1996 Q1,1996
"4",1997-01-01,3.39,5.14,NA,1997 Q1,1997
"5",1998-01-01,0.34,7.25,NA,1998 Q1,1998
"6",1999-01-01,0.47,7.73,NA,1999 Q1,1999
"7",2000-01-01,4.39,7.63,NA,2000 Q1,2000
"8",2001-01-01,1.39,5.7,NA,2001 Q1,2001
"9",2002-01-01,3.05,6.83,NA,2002 Q1,2002
"10",2003-01-01,1.14,11.2,NA,2003 Q1,2003
"11",2004-01-01,5.76,11.7,NA,2004 Q1,2004
"12",2005-01-01,3.2,10.2,NA,2005 Q1,2005
"13",2006-01-01,3.96,9.3,NA,2006 Q1,2006
"14",2007-01-01,6.07,9.3,NA,2007 Q1,2007
"15",2008-01-01,5.09,8,NA,2008 Q1,2008
"16",2009-01-01,-0.13,8.2,NA,2009 Q1,2009
"17",2010-01-01,7.53,7.2,NA,2010 Q1,2010
"18",2011-01-01,3.97,6,NA,2011 Q1,2011
"19",2012-01-01,1.92,5.5,NA,2012 Q1,2012
"20",2013-01-01,3,7.3,259274,2013 Q1,2013
"21",2014-01-01,0.5,6.5,270013,2014 Q1,2014
"22",2015-01-01,-3.55,6.9,274424,2015 Q1,2015
"23",2016-01-01,-3.28,9.6,288386,2016 Q1,2016
"24",2017-01-01,1.32,12.7,284706,2017 Q1,2017
"25",2018-01-01,1.78,12.3,295719,2018 Q1,2018
"26",2019-01-01,1.22,12.2,305568,2019 Q1,2019
"27",2020-01-01,-3.28,11.4,313634,2020 Q1,2020
"28",2021-01-01,4.99,14.5,278949,2021 Q1,2021
"29",2022-01-01,2.9,11.2,284936,2022 Q1,2022
"30",1994-02-01,NA,5.37,NA,1994 Q1,1994
"31",1994-03-01,NA,5.9,NA,1994 Q1,1994
"32",1994-04-01,NA,5.37,NA,1994 Q2,1994
"33",1994-05-01,NA,5.18,NA,1994 Q2,1994
"34",1994-06-01,NA,5.42,NA,1994 Q2,1994
"35",1994-07-01,NA,5.46,NA,1994 Q3,1994
"36",1994-08-01,NA,5.49,NA,1994 Q3,1994
"37",1994-09-01,NA,5.05,NA,1994 Q3,1994
"38",1994-10-01,NA,4.53,NA,1994 Q4,1994
"39",1994-11-01,NA,4,NA,1994 Q4,1994
"40",1994-12-01,NA,3.42,NA,1994 Q4,1994
"41",1995-02-01,NA,4.25,NA,1995 Q1,1995
"42",1995-03-01,NA,4.42,NA,1995 Q1,1995
"43",1995-04-01,NA,4.35,NA,1995 Q2,1995
"44",1995-05-01,NA,4.49,NA,1995 Q2,1995
"45",1995-06-01,NA,4.59,NA,1995 Q2,1995
"46",1995-07-01,NA,4.83,NA,1995 Q3,1995
"47",1995-08-01,NA,4.9,NA,1995 Q3,1995
"48",1995-09-01,NA,5.19,NA,1995 Q3,1995
"49",1995-10-01,NA,5.09,NA,1995 Q4,1995
"50",1995-11-01,NA,4.72,NA,1995 Q4,1995
"51",1995-12-01,NA,4.44,NA,1995 Q4,1995
"52",1996-02-01,NA,5.7,NA,1996 Q1,1996
"53",1996-03-01,NA,6.38,NA,1996 Q1,1996
"54",1996-04-01,NA,6.03,NA,1996 Q2,1996
"55",1996-05-01,NA,5.91,NA,1996 Q2,1996
"56",1996-06-01,NA,5.92,NA,1996 Q2,1996
"57",1996-07-01,NA,5.58,NA,1996 Q3,1996
"58",1996-08-01,NA,5.56,NA,1996 Q3,1996
"59",1996-09-01,NA,5.23,NA,1996 Q3,1996
"60",1996-10-01,NA,5.14,NA,1996 Q4,1996
"61",1996-11-01,NA,4.56,NA,1996 Q4,1996
"62",1996-12-01,NA,3.82,NA,1996 Q4,1996
"63",1997-02-01,NA,5.55,NA,1997 Q1,1997
"64",1997-03-01,NA,5.97,NA,1997 Q1,1997
"65",1997-04-01,NA,5.75,NA,1997 Q2,1997
"66",1997-05-01,NA,6,NA,1997 Q2,1997
"67",1997-06-01,NA,6.09,NA,1997 Q2,1997
"68",1997-07-01,NA,5.97,NA,1997 Q3,1997
"69",1997-08-01,NA,5.95,NA,1997 Q3,1997
"70",1997-09-01,NA,5.63,NA,1997 Q3,1997
"71",1997-10-01,NA,5.71,NA,1997 Q4,1997
"72",1997-11-01,NA,5.35,NA,1997 Q4,1997
"73",1997-12-01,NA,4.84,NA,1997 Q4,1997
"74",1998-02-01,NA,7.42,NA,1998 Q1,1998
"75",1998-03-01,NA,8.18,NA,1998 Q1,1998
"76",1998-04-01,NA,7.94,NA,1998 Q2,1998
"77",1998-05-01,NA,8.2,NA,1998 Q2,1998
"78",1998-06-01,NA,7.9,NA,1998 Q2,1998
"79",1998-07-01,NA,8.02,NA,1998 Q3,1998
"80",1998-08-01,NA,7.8,NA,1998 Q3,1998
"81",1998-09-01,NA,7.65,NA,1998 Q3,1998
"82",1998-10-01,NA,7.45,NA,1998 Q4,1998
"83",1998-11-01,NA,7.04,NA,1998 Q4,1998
"84",1998-12-01,NA,6.32,NA,1998 Q4,1998
"85",1999-02-01,NA,7.51,NA,1999 Q1,1999
"86",1999-03-01,NA,8.16,NA,1999 Q1,1999
"87",1999-04-01,NA,8.02,NA,1999 Q2,1999
"88",1999-05-01,NA,7.7,NA,1999 Q2,1999
"89",1999-06-01,NA,7.84,NA,1999 Q2,1999
"90",1999-07-01,NA,7.54,NA,1999 Q3,1999
"91",1999-08-01,NA,7.68,NA,1999 Q3,1999
"92",1999-09-01,NA,7.37,NA,1999 Q3,1999
"93",1999-10-01,NA,7.53,NA,1999 Q4,1999
"94",1999-11-01,NA,7.32,NA,1999 Q4,1999
"95",1999-12-01,NA,6.28,NA,1999 Q4,1999
"96",2000-02-01,NA,8.16,NA,2000 Q1,2000
"97",2000-03-01,NA,8.05,NA,2000 Q1,2000
"98",2000-04-01,NA,7.84,NA,2000 Q2,2000
"99",2000-05-01,NA,7.79,NA,2000 Q2,2000
"100",2000-06-01,NA,7.41,NA,2000 Q2,2000
"101",2000-07-01,NA,7.17,NA,2000 Q3,2000
"102",2000-08-01,NA,7.14,NA,2000 Q3,2000
"103",2000-09-01,NA,6.68,NA,2000 Q3,2000
"104",2000-10-01,NA,6.75,NA,2000 Q4,2000
"105",2000-11-01,NA,6.19,NA,2000 Q4,2000
"106",2000-12-01,NA,4.83,NA,2000 Q4,2000
"107",2001-02-01,NA,5.72,NA,2001 Q1,2001
"108",2001-03-01,NA,6.46,NA,2001 Q1,2001
"109",2001-04-01,NA,6.51,NA,2001 Q2,2001
"110",2001-05-01,NA,6.86,NA,2001 Q2,2001
"111",2001-06-01,NA,6.38,NA,2001 Q2,2001
"112",2001-07-01,NA,6.19,NA,2001 Q3,2001
"113",2001-08-01,NA,6.18,NA,2001 Q3,2001
"114",2001-09-01,NA,6.15,NA,2001 Q3,2001
"115",2001-10-01,NA,6.55,NA,2001 Q4,2001
"116",2001-11-01,NA,6.4,NA,2001 Q4,2001
"117",2001-12-01,NA,5.6,NA,2001 Q4,2001
"118",2002-02-01,NA,6.98,NA,2002 Q1,2002
"119",2002-03-01,NA,7.09,NA,2002 Q1,2002
"120",2002-04-01,NA,7.57,NA,2002 Q2,2002
"121",2002-05-01,NA,7.7,NA,2002 Q2,2002
"122",2002-06-01,NA,7.5,NA,2002 Q2,2002
"123",2002-07-01,NA,7.53,NA,2002 Q3,2002
"124",2002-08-01,NA,7.3,NA,2002 Q3,2002
"125",2002-09-01,NA,7.51,NA,2002 Q3,2002
"126",2002-10-01,NA,7.36,NA,2002 Q4,2002
"127",2002-11-01,NA,7.07,NA,2002 Q4,2002
"128",2002-12-01,NA,5.24,NA,2002 Q4,2002
"129",2012-03-01,NA,8,239170,2012 Q1,2012
"130",2012-04-01,NA,7.8,239717,2012 Q2,2012
"131",2012-05-01,NA,7.7,240666,2012 Q2,2012
"132",2012-06-01,NA,7.6,242134,2012 Q2,2012
"133",2012-07-01,NA,7.5,243964,2012 Q3,2012
"134",2012-08-01,NA,7.4,244778,2012 Q3,2012
"135",2012-09-01,NA,7.1,245603,2012 Q3,2012
"136",2012-10-01,NA,7,245622,2012 Q4,2012
"137",2012-11-01,NA,6.8,247785,2012 Q4,2012
"138",2012-12-01,NA,6.9,259148,2012 Q4,2012
"139",2013-02-01,NA,7.8,257228,2013 Q1,2013
"140",2013-03-01,NA,8.1,247052,2013 Q1,2013
"141",2013-04-01,NA,7.9,248475,2013 Q2,2013
"142",2013-05-01,NA,7.7,251528,2013 Q2,2013
"143",2013-06-01,NA,7.5,254304,2013 Q2,2013
"144",2013-07-01,NA,7.4,256330,2013 Q3,2013
"145",2013-08-01,NA,7.2,256920,2013 Q3,2013
"146",2013-09-01,NA,7,258536,2013 Q3,2013
"147",2013-10-01,NA,6.8,259053,2013 Q4,2013
"148",2013-11-01,NA,6.6,259879,2013 Q4,2013
"149",2013-12-01,NA,6.3,268070,2013 Q4,2013
"150",2014-02-01,NA,6.8,270974,2014 Q1,2014
"151",2014-03-01,NA,7.2,262323,2014 Q1,2014
"152",2014-04-01,NA,7.2,262530,2014 Q2,2014
"153",2014-05-01,NA,7.1,261380,2014 Q2,2014
"154",2014-06-01,NA,6.9,260114,2014 Q2,2014
"155",2014-07-01,NA,7,261716,2014 Q3,2014
"156",2014-08-01,NA,7,263234,2014 Q3,2014
"157",2014-09-01,NA,6.9,265468,2014 Q3,2014
"158",2014-10-01,NA,6.7,264343,2014 Q4,2014
"159",2014-11-01,NA,6.6,266586,2014 Q4,2014
"160",2014-12-01,NA,6.6,275931,2014 Q4,2014
"161",2015-02-01,NA,7.5,271328,2015 Q1,2015
"162",2015-03-01,NA,8,261858,2015 Q1,2015
"163",2015-04-01,NA,8.1,260228,2015 Q2,2015
"164",2015-05-01,NA,8.3,261422,2015 Q2,2015
"165",2015-06-01,NA,8.4,259809,2015 Q2,2015
"166",2015-07-01,NA,8.7,257981,2015 Q3,2015
"167",2015-08-01,NA,8.9,257482,2015 Q3,2015
"168",2015-09-01,NA,9,257669,2015 Q3,2015
"169",2015-10-01,NA,9.1,257529,2015 Q4,2015
"170",2015-11-01,NA,9.1,266526,2015 Q4,2015
"171",2015-12-01,NA,9.1,290184,2015 Q4,2015
"172",2016-02-01,NA,10.4,279400,2016 Q1,2016
"173",2016-03-01,NA,11.1,254123,2016 Q1,2016
"174",2016-04-01,NA,11.3,254118,2016 Q2,2016
"175",2016-05-01,NA,11.3,251484,2016 Q2,2016
"176",2016-06-01,NA,11.4,251276,2016 Q2,2016
"177",2016-07-01,NA,11.7,252878,2016 Q3,2016
"178",2016-08-01,NA,11.9,251434,2016 Q3,2016
"179",2016-09-01,NA,11.9,250955,2016 Q3,2016
"180",2016-10-01,NA,11.9,251349,2016 Q4,2016
"181",2016-11-01,NA,12,261200,2016 Q4,2016
"182",2016-12-01,NA,12.2,283944,2016 Q4,2016
"183",2017-02-01,NA,13.3,277302,2017 Q1,2017
"184",2017-03-01,NA,13.9,254321,2017 Q1,2017
"185",2017-04-01,NA,13.7,253671,2017 Q2,2017
"186",2017-05-01,NA,13.4,253581,2017 Q2,2017
"187",2017-06-01,NA,13.1,255482,2017 Q2,2017
"188",2017-07-01,NA,12.9,257329,2017 Q3,2017
"189",2017-08-01,NA,12.7,259263,2017 Q3,2017
"190",2017-09-01,NA,12.5,260231,2017 Q3,2017
"191",2017-10-01,NA,12.3,261481,2017 Q4,2017
"192",2017-11-01,NA,12.1,271157,2017 Q4,2017
"193",2017-12-01,NA,11.9,294980,2017 Q4,2017
"194",2018-02-01,NA,12.7,285778,2018 Q1,2018
"195",2018-03-01,NA,13.2,263423,2018 Q1,2018
"196",2018-04-01,NA,13,262987,2018 Q2,2018
"197",2018-05-01,NA,12.8,263448,2018 Q2,2018
"198",2018-06-01,NA,12.6,264769,2018 Q2,2018
"199",2018-07-01,NA,12.4,267578,2018 Q3,2018
"200",2018-08-01,NA,12.3,267786,2018 Q3,2018
"201",2018-09-01,NA,12,268053,2018 Q3,2018
"202",2018-10-01,NA,11.9,268178,2018 Q4,2018
"203",2018-11-01,NA,11.7,278753,2018 Q4,2018
"204",2018-12-01,NA,11.7,304501,2018 Q4,2018
"205",2019-02-01,NA,12.6,295645,2019 Q1,2019
"206",2019-03-01,NA,12.8,270807,2019 Q1,2019
"207",2019-04-01,NA,12.6,269130,2019 Q2,2019
"208",2019-05-01,NA,12.4,270529,2019 Q2,2019
"209",2019-06-01,NA,12.1,271319,2019 Q2,2019
"210",2019-07-01,NA,12,274234,2019 Q3,2019
"211",2019-08-01,NA,11.9,273965,2019 Q3,2019
"212",2019-09-01,NA,11.9,275789,2019 Q3,2019
"213",2019-10-01,NA,11.8,277651,2019 Q4,2019
"214",2019-11-01,NA,11.3,288232,2019 Q4,2019
"215",2019-12-01,NA,11.1,313881,2019 Q4,2019
"216",2020-02-01,NA,11.8,300203,2020 Q1,2020
"217",2020-03-01,NA,12.4,266539,2020 Q1,2020
"218",2020-04-01,NA,12.7,250320,2020 Q2,2020
"219",2020-05-01,NA,13.1,238531,2020 Q2,2020
"220",2020-06-01,NA,13.6,234831,2020 Q2,2020
"221",2020-07-01,NA,14.1,237926,2020 Q3,2020
"222",2020-08-01,NA,14.8,245284,2020 Q3,2020
"223",2020-09-01,NA,14.9,249932,2020 Q3,2020
"224",2020-10-01,NA,14.6,254168,2020 Q4,2020
"225",2020-11-01,NA,14.4,259952,2020 Q4,2020
"226",2020-12-01,NA,14.2,279385,2020 Q4,2020
"227",2021-02-01,NA,14.6,273005,2021 Q1,2021
"228",2021-03-01,NA,14.9,253802,2021 Q1,2021
"229",2021-04-01,NA,14.8,255153,2021 Q2,2021
"230",2021-05-01,NA,14.7,256071,2021 Q2,2021
"231",2021-06-01,NA,14.2,258224,2021 Q2,2021
"232",2021-07-01,NA,13.7,258476,2021 Q3,2021
"233",2021-08-01,NA,13.1,257171,2021 Q3,2021
"234",2021-09-01,NA,12.6,255645,2021 Q3,2021
"235",2021-10-01,NA,12.1,254928,2021 Q4,2021
"236",2021-11-01,NA,11.6,261862,2021 Q4,2021
"237",2021-12-01,NA,11.1,284397,2021 Q4,2021
"238",2022-02-01,NA,11.2,280900,2022 Q1,2022
"239",2022-03-01,NA,11.1,263094,2022 Q1,2022
"240",2022-04-01,NA,10.5,266987,2022 Q2,2022
"241",2022-05-01,NA,9.8,271397,2022 Q2,2022
"242",2022-06-01,NA,9.3,275637,2022 Q2,2022
"243",2022-07-01,NA,9.1,279331,2022 Q3,2022
"244",2022-08-01,NA,8.9,282620,2022 Q3,2022
"245",2022-09-01,NA,8.7,285484,2022 Q3,2022
"246",2022-10-01,NA,8.3,288120,2022 Q4,2022
"247",2022-11-01,NA,8.1,298442,2022 Q4,2022
"248",2022-12-01,NA,7.9,320056,2022 Q4,2022
"249",2023-01-01,NA,8.4,319785,2023 Q1,2023
"250",2023-02-01,NA,8.6,310514,2023 Q1,2023
"251",2023-03-01,NA,8.8,289810,2023 Q1,2023
"252",2023-04-01,NA,8.5,288568,2023 Q2,2023
"253",2023-05-01,NA,8.3,289674,2023 Q2,2023
"254",2023-06-01,NA,8,291647,2023 Q2,2023
"255",2023-07-01,NA,7.9,294951,2023 Q3,2023
"256",2023-08-01,NA,7.8,298655,2023 Q3,2023
"257",2023-09-01,NA,7.7,299109,2023 Q3,2023
"258",2023-10-01,NA,7.6,301240,2023 Q4,2023
"259",2023-11-01,NA,7.5,311830,2023 Q4,2023
"260",2023-12-01,NA,7.4,NA,2023 Q4,2023
"261",2012-02-01,NA,5.7,214291,2012 Q1,2012
