"","FirstDate","inflation_punew","inflation_puxhs","inflation_puxx","inflation_pce","quarter","group"
"1",1952-04-01,0.000378000382501197,-0.0035273405179683,NA,NA,1952 Q2,1952
"2",1952-07-01,0.0082800623606133,0.010544913176615,NA,NA,1952 Q3,1952
"3",1952-10-01,0.000374742369009963,-0.00350263055120211,NA,NA,1952 Q4,1952
"4",1953-01-01,-0.00187511774424441,0,NA,NA,1953 Q1,1953
"5",1953-04-01,0.00187511774424438,0,NA,NA,1953 Q2,1953
"6",1953-07-01,0.00373972014008444,0.00350263055120207,NA,NA,1953 Q3,1953
"7",1953-10-01,0.00595461379848875,0.00349040493976835,NA,NA,1953 Q4,1953
"8",1954-01-01,-0.000371126372788108,0,NA,NA,1954 Q1,1954
"9",1954-04-01,-0.00297397988712651,-0.00349040493976849,NA,NA,1954 Q2,1954
"10",1954-07-01,0,0,NA,NA,1954 Q3,1954
"11",1954-10-01,-0.00522584242664655,-0.010544913176615,NA,NA,1954 Q4,1954
"12",1955-01-01,0.00186950886381614,0,NA,NA,1955 Q1,1955
"13",1955-04-01,0.000746826024256116,0,NA,NA,1955 Q2,1955
"14",1955-07-01,-0.00112044829648961,0,NA,NA,1955 Q3,1955
"15",1955-10-01,0.00223964259350466,0.00352734051796844,NA,NA,1955 Q4,1955
"16",1956-01-01,0.000372786584000237,-0.0035273405179683,NA,NA,1956 Q1,1956
"17",1956-04-01,0.00372024238597481,0.00704228262541295,NA,NA,1956 Q2,1956
"18",1956-07-01,0.0132794278967396,0.0139375078437817,NA,NA,1956 Q3,1956
"19",1956-10-01,0.00802924021623606,0.00689657905906046,NA,NA,1956 Q4,1956
"20",1957-01-01,0.00579921886235129,0.00684934184557477,NA,NA,1957 Q1,1957
"21",1957-04-01,0.00935258615825069,0.010186845306993,NA,NA,1957 Q2,1957
"22",1957-07-01,0.00926592516893574,0.00673403218134412,NA,NA,1957 Q3,1957
"23",1957-10-01,0.00460096369949778,0.00335008688528181,NA,NA,1957 Q4,1957
"24",1958-01-01,0.011236073266926,0.0132892321186827,NA,NA,1958 Q1,1958
"25",1958-04-01,0.010420379110893,0.00985229644301164,0.0068027473227524,NA,1958 Q2,1958
"26",1958-07-01,-0.00172920672519393,0,0.00338409798424049,NA,1958 Q3,1958
"27",1958-10-01,0.000692041550110715,0,0.00337268447863916,NA,1958 Q4,1958
"28",1959-01-01,0.00345304210505802,0.00326264563481637,0.00671143458798678,NA,1959 Q1,1959
"29",1959-04-01,-0.00103466124077633,0,0.00333890126551463,NA,1959 Q2,1959
"30",1959-07-01,0.005848975903965,0.00649352931054831,0.00664454271866851,NA,1959 Q3,1959
"31",1959-10-01,0.00683763347760419,0.00323102058144654,0.00660068403135209,NA,1959 Q4,1959
"32",1960-01-01,0.000681198936423163,0.00322061470004216,0.00328407520119002,NA,1960 Q1,1960
"33",1960-04-01,0.00577153189270489,0.00321027563024819,0.00327332534496911,0.00523442986493222,1960 Q2,1960
"34",1960-07-01,0.000338466748873474,0.00320000273067085,0,0.00373134761285818,1960 Q3,1960
"35",1960-10-01,0.00674538813953143,0.00318979536810008,0.00651468102119367,0.00442095866621794,1960 Q4,1960
"36",1961-01-01,0.00302064334392128,0.00634922767865874,0,0.00185226636165926,1961 Q1,1961
"37",1961-04-01,-0.00100586764558011,0,0.00324149392417102,-0.000127632418807471,1961 Q2,1961
"38",1961-07-01,0.00368324541629659,0.00315956029036852,0.00323102058144654,0.00363115544705289,1961 Q3,1961
"39",1961-10-01,0.0020033395681751,0,0.00322061470004216,0.00101690615093405,1961 Q4,1961
"40",1962-01-01,0.00199933422148226,0.0031496089028962,0.00321027563024819,0.00431035150112226,1962 Q1,1962
"41",1962-04-01,0.00564316850264657,0.0062696130135954,0.00320000273067085,0.00353580365843043,1962 Q2,1962
"42",1962-07-01,0.000330961446012823,-0.0031298930089277,0.00318979536810008,0.0027065319432914,1962 Q3,1962
"43",1962-10-01,0.00528054032303335,0.00936044275956389,0.00317965291737981,0.00301261760518763,1962 Q4,1962
"44",1963-01-01,0.00197303582585839,0,0,0.00287860023556285,1963 Q1,1963
"45",1963-04-01,0.00131319782496039,0,0.00632913505164753,0.00162337697989077,1963 Q2,1963
"46",1963-07-01,0.00686613781319927,0.00927363678532903,0.0031496089028962,0.00479229172960932,1963 Q3,1963
"47",1963-10-01,0.00195312562088207,0,0.0062696130135954,0.0037183979382993,1963 Q4,1963
"48",1964-01-01,0.00615985089239312,0.00613498856751593,0.00623054975063616,0.00469020854856645,1964 Q1,1964
"49",1964-04-01,0.000323153985685045,0,0,0.00215258854914196,1964 Q2,1964
"50",1964-07-01,0.00225915861778766,0.00305343748689025,0.00310077767824796,0.00331207368524501,1964 Q3,1964
"51",1964-10-01,0.00321854156179812,0.00304414238122827,0.00309119256967288,0.00324010676249116,1964 Q4,1964
"52",1965-01-01,0.00512821636691953,0.00303490369515411,0.00615386557437829,0.00322964236729109,1965 Q1,1965
"53",1965-04-01,0.00319183162777623,0.00302572091653711,0.00306278953054573,0.00503687686844347,1965 Q2,1965
"54",1965-07-01,0.00635326152260944,0.00902261759963733,0,0.00374600160119498,1965 Q3,1965
"55",1965-10-01,0.00221413976268917,0.00298953884836599,0.00305343748689025,0.00301078086168479,1965 Q4,1965
"56",1966-01-01,0.00724070533182921,0.00595239852729535,0.00607904607638219,0.00772620858940949,1966 Q1,1966
"57",1966-04-01,0.0124689894797337,0.0147278067102434,0.00904983551991786,0.00814051258553168,1966 Q2,1966
"58",1966-07-01,0.00525259974835096,0.00291971010333462,0.00896866998276054,0.0076050477078538,1966 Q3,1966
"59",1966-10-01,0.0122513017805204,0.0115943327809194,0.0118344576470028,0.00772249786497705,1966 Q4,1966
"60",1967-01-01,0.00152091284070652,0.00287769982761497,0.00586511945239806,0.00290968547929002,1967 Q1,1967
"61",1967-04-01,0.00606062461169117,0.00286944242795296,0.00583092031079314,0.00469579691242518,1967 Q2,1967
"62",1967-07-01,0.00902261759963733,0.00855925339567013,0.00868312257346086,0.00921134895323716,1967 Q3,1967
"63",1967-10-01,0.00894193737566143,0.0112995552539332,0.0114614435190066,0.00855925339567013,1967 Q4,1967
"64",1968-01-01,0.011799546931155,0.0111733005981253,0.01133156600955,0.0105689513492341,1968 Q1,1968
"65",1968-04-01,0.00875918008988155,0.00829880281469506,0.0112045990128631,0.0101245446027471,1968 Q2,1968
"66",1968-07-01,0.0144302648290288,0.0109590137897196,0.0138314791484618,0.0102985241083481,1968 Q3,1968
"67",1968-10-01,0.0113961347308696,0.0108402145528648,0.0136427764037865,0.0110110948443622,1968 Q4,1968
"68",1969-01-01,0.0112677248463425,0.00805373480709683,0.0107817756032884,0.00970486621570197,1969 Q1,1969
"69",1969-04-01,0.0166670524852116,0.0159154553058996,0.0212209554828854,0.0126529674339178,1969 Q2,1969
"70",1969-07-01,0.0136801039040802,0.0130720815673527,0.0104439591610833,0.0121791285680231,1969 Q3,1969
"71",1969-10-01,0.0134954814748845,0.0103360093306621,0.0154642256975816,0.0115124243757058,1969 Q4,1969
"72",1970-01-01,0.0159577854386108,0.0153064212826755,0.0127066512691149,0.0115357045715424,1970 Q1,1970
"73",1970-04-01,0.0157071292053579,0.0125787822068602,0.0200006667066694,0.0110481406117807,1970 Q2,1970
"74",1970-07-01,0.0103360093306621,0.00995033085316809,0.0123002780816517,0.00966875840773008,1970 Q3,1970
"75",1970-10-01,0.0127715656794875,0.00985229644301164,0.0145633641878965,0.0128640060103107,1970 Q4,1970
"76",1971-01-01,0.0126105075919297,0.012180418556871,0.0143543134516831,0.00940507873197931,1971 Q1,1971
"77",1971-04-01,0.00500001041670584,0.00963862883776879,0.00710062154957637,0.0113167159977911,1971 Q2,1971
"78",1971-07-01,0.0123917322951635,0.0119190922372103,0.0117234636960592,0.0097438781440936,1971 Q3,1971
"79",1971-10-01,0.00736199644106904,0.0047281411959459,0.00465117117573088,0.00615593729712386,1971 Q4,1971
"80",1972-01-01,0.00730819330672484,0.00705055799666698,0.00923794098493636,0.0104453290325414,1972 Q1,1972
"81",1972-04-01,0.0072551708811718,0.00700119545898356,0.00687287928776205,0.00577188525802387,1972 Q2,1972
"82",1972-07-01,0.00720291229405802,0.00695251931488166,0.00682596507039989,0.00873614123155481,1972 Q3,1972
"83",1972-10-01,0.00952388151125554,0.00919546709310039,0.00677968698537877,0.00815038393925225,1972 Q4,1972
"84",1973-01-01,0.0117786991926127,0.0136365749495454,0.00449438958783927,0.0120794460931217,1973 Q1,1973
"85",1973-04-01,0.0231491818669656,0.0245274279962124,0.0111483874826142,0.019064623531315,1973 Q2,1973
"86",1973-07-01,0.011376686982108,0.0131292914417928,0.008830079448272,0.0180899604252906,1973 Q3,1973
"87",1973-10-01,0.0311829274366878,0.0278688990087922,0.0174296351352836,0.0203245703383367,1973 Q4,1973
"88",1974-01-01,0.0259754864032605,0.0291687345906569,0.0128757143600454,0.0293336175134951,1974 Q1,1974
"89",1974-04-01,0.0273989741881146,0.0283419780022749,0.021097828964636,0.0279257488860474,1974 Q2,1974
"90",1974-07-01,0.0246419039369289,0.0256171643703003,0.032857165157775,0.0266101816294765,1974 Q3,1974
"91",1974-10-01,0.0339015516756814,0.0344202238864794,0.0337668624708175,0.0249895134713209,1974 Q4,1974
"92",1975-01-01,0.0251707383465514,0.0241423053215996,0.0212568390254149,0.0184930588858493,1975 Q1,1975
"93",1975-04-01,0.0132955424812447,0.0109490144896705,0.0189399601009217,0.0121163119454327,1975 Q2,1975
"94",1975-07-01,0.0186921330121525,0.0215448189867758,0.0130477153924757,0.0184948781990706,1975 Q3,1975
"95",1975-10-01,0.0165293019512105,0.0176060885750493,0.0147061473896955,0.0166340759196387,1975 Q4,1975
"96",1976-01-01,0.0162605208717803,0.0138650401371718,0.0198741862070836,0.0110214858054202,1976 Q1,1976
"97",1976-04-01,0.00536194314138537,0.00686109037994516,0.014209830572653,0.0083742392546298,1976 Q2,1976
"98",1976-07-01,0.0159154553058996,0.0135825517658689,0.0157483569681391,0.0151378713011618,1976 Q3,1976
"99",1976-10-01,0.0156661167443995,0.0167227977294599,0.0155041865359653,0.0156726643394131,1976 Q4,1976
"100",1977-01-01,0.0137223422551012,0.0148150857851407,0.0135825517658689,0.0178778007195944,1977 Q1,1977
"101",1977-04-01,0.0219048353880498,0.0210193672240753,0.0167227977294599,0.0169298761128576,1977 Q2,1977
"102",1977-07-01,0.0132452267500205,0.0127187724077746,0.0148150857851407,0.0149397415709256,1977 Q3,1977
"103",1977-10-01,0.0130720815673529,0.00943403223335871,0.0129871955268111,0.0141040535831553,1977 Q4,1977
"104",1978-01-01,0.0176995770994009,0.0155282623265552,0.017586384502076,0.0162071847775071,1978 Q1,1978
"105",1978-04-01,0.018957913744614,0.0198328392329182,0.0188388616964061,0.0203341181404743,1978 Q2,1978
"106",1978-07-01,0.024730781257717,0.0209275201059558,0.0200160647064695,0.017413298245391,1978 Q3,1978
"107",1978-10-01,0.0241339013364299,0.0190481949706946,0.0240975515790605,0.0187444631241624,1978 Q4,1978
"108",1979-01-01,0.0206497012905435,0.0215370851443838,0.0191604977390758,0.0186954825516747,1979 Q1,1979
"109",1979-04-01,0.0301963992310167,0.0293932986966323,0.0259380535484395,0.0270006624487285,1979 Q2,1979
"110",1979-07-01,0.0334292966491949,0.0298935302781427,0.0225044659103819,0.024521909161874,1979 Q3,1979
"111",1979-10-01,0.029691789807403,0.0225026040337032,0.0287888284771686,0.0239623865135372,1979 Q4,1979
"112",1980-01-01,0.0365575957337975,0.0321985316793537,0.0358366151690407,0.0295737189795099,1980 Q1,1980
"113",1980-04-01,0.0365049973748544,0.0324217923949884,0.0358553132870756,0.0242104346443742,1980 Q2,1980
"114",1980-07-01,0.0207958564624863,0.0194416816145854,0.0162199438667635,0.0231301430125899,1980 Q3,1980
"115",1980-10-01,0.0251059211310765,0.0249567319738677,0.0268636422695483,0.024468277986314,1980 Q4,1980
"116",1981-01-01,0.0290887292569253,0.0254938488262198,0.0285054929979263,0.0256493344497994,1981 Q1,1981
"117",1981-04-01,0.0215550035618297,0.0259754864032605,0.0185620178600596,0.0166303075511658,1981 Q2,1981
"118",1981-07-01,0.0265796378047121,0.0176800185361722,0.0316768566535701,0.0163348790058853,1981 Q3,1981
"119",1981-10-01,0.0205523729533214,0.0184487055523333,0.0252899679531072,0.0151746571771701,1981 Q4,1981
"120",1982-01-01,0.0106497279166581,0.0138816964861558,0.012945164592037,0.0125629505520416,1982 Q1,1982
"121",1982-04-01,0.0063358184490857,0.00423281055262076,0.0148938923387344,0.00955060896419866,1982 Q2,1982
"122",1982-07-01,0.0259754864032607,0.0219329940904988,0.020899402267216,0.0156216511914532,1982 Q3,1982
"123",1982-10-01,0.00613498856751593,0.00925456476620589,0.00823897554455286,0.0109387117534246,1982 Q4,1982
"124",1983-01-01,-0.00204081703485256,0.00510465631168305,0.00102511541524535,0.00819148520377212,1983 Q1,1983
"125",1983-04-01,0.00915105521735739,0.00811363477416963,0.010193768189543,0.00909549982632288,1983 Q2,1983
"126",1983-07-01,0.0100705785635961,0.0100503358535015,0.0120969217088285,0.0130645223228237,1983 Q3,1983
"127",1983-10-01,0.00997017231984985,0.00995033085316809,0.0119523335238412,0.00661678235374607,1983 Q4,1983
"128",1984-01-01,0.0128143695333516,0.0118111609283446,0.0147422817372034,0.0108061430802561,1984 Q1,1984
"129",1984-04-01,0.0116846509549731,0.0107056983559887,0.0116393166570188,0.00967638726581909,1984 Q2,1984
"130",1984-07-01,0.00771459949533038,0.00675352301577992,0.0124582349220418,0.00769480531915251,1984 Q3,1984
"131",1984-10-01,0.00956030226198233,0.00956945101615067,0.0113637586503152,0.00616659913835736,1984 Q4,1984
"132",1985-01-01,0.0056926149932865,0.0047506027585978,0.0084388686458646,0.011695564786281,1985 Q1,1985
"133",1985-04-01,0.0122239415857141,0.0113102053915866,0.0120651115518429,0.0080822330223981,1985 Q2,1985
"134",1985-07-01,0.00652074970043679,0.00374181914599535,0.00918280098233498,0.00781877287809448,1985 Q3,1985
"135",1985-10-01,0.00740058881817132,0.00465767027398094,0.0100046309699265,0.00694949091996268,1985 Q4,1985
"136",1986-01-01,0.0128206884290615,0.0120093822112309,0.012590094360072,0.00709745722204569,1986 Q1,1986
"137",1986-04-01,-0.0109790672824119,-0.0176011954770087,0.00889685583773672,-0.00103885930840571,1986 Q2,1986
"138",1986-07-01,0.00733275512939179,0.00652074970043679,0.00794005053661422,0.00526157437260083,1986 Q3,1986
"139",1986-10-01,0.00637234746225861,0.00370714048281958,0.0104896066710194,0.0060293871269425,1986 Q4,1986
"140",1987-01-01,0.0108304307743696,0.012867824611393,0.00779562198245609,0.00939916402675485,1987 Q1,1987
"141",1987-04-01,0.011602093552547,0.0118022250566279,0.0120070053137236,0.0095970760305481,1987 Q2,1987
"142",1987-07-01,0.00971310064649981,0.00987884100469625,0.00848901532491131,0.00941161139265922,1987 Q3,1987
"143",1987-10-01,0.0104896066710194,0.00889685583773672,0.0125999146970078,0.00859534239929565,1987 Q4,1987
"144",1988-01-01,0.00865806274311453,0.00618103513143445,0.00914007193939798,0.00785485657957948,1988 Q1,1988
"145",1988-04-01,0.0102916860365477,0.0105079775984152,0.0115132850723796,0.0109895268321782,1988 Q2,1988
"146",1988-07-01,0.0110310834322736,0.0121213605323448,0.0105735023304636,0.0122477291019105,1988 Q3,1988
"147",1988-10-01,0.0117451014582827,0.0119761910467156,0.0128619136424078,0.0100572193889723,1988 Q4,1988
"148",1989-01-01,0.0107840116017454,0.0109937682322098,0.0103298495015767,0.0114474441602179,1989 Q1,1989
"149",1989-04-01,0.0155549595551937,0.0175077419000049,0.0102242337758594,0.0134017450189496,1989 Q2,1989
"150",1989-07-01,0.0113086827143546,0.00904983551991786,0.010895049405067,0.00589529736140369,1989 Q3,1989
"151",1989-10-01,0.00720291229405802,0.0065306354553302,0.0107776254938293,0.00786423592318979,1989 Q4,1989
"152",1990-01-01,0.0166077363996605,0.0177424009008762,0.0114199946859488,0.0144234916787161,1990 Q1,1990
"153",1990-04-01,0.0109205453466609,0.0103380642398916,0.0142805884226317,0.00904079567342365,1990 Q2,1990
"154",1990-07-01,0.0123363168176063,0.0102322813257365,0.0133434151736846,0.0126278683565389,1990 Q3,1990
"155",1990-10-01,0.0219789067187754,0.0255135601626579,0.0131677103746475,0.0131440525377956,1990 Q4,1990
"156",1991-01-01,0.00969794993479474,0.00911860421643434,0.013713675762177,0.00522596472906647,1991 Q1,1991
"157",1991-04-01,0.00296516154983497,0.00151171608532216,0.00998581764321426,0.00542633832407118,1991 Q2,1991
"158",1991-07-01,0.00810914874925872,0.0082738343373964,0.00988708619117215,0.00675388241677172,1991 Q3,1991
"159",1991-10-01,0.00731532157637292,0.00671895024874501,0.00979028798917232,0.00722152538047155,1991 Q4,1991
"160",1992-01-01,0.00798552337892794,0.00667410708769322,0.00969536680516299,0.00623054975063616,1992 Q1,1992
"161",1992-04-01,0.00792225965571092,0.0080972102326193,0.00823614813593658,0.00661922938708472,1992 Q2,1992
"162",1992-07-01,0.00785999044737688,0.00803217169726425,0.0088466041402934,0.00635563617760996,1992 Q3,1992
"163",1992-10-01,0.00850465792283414,0.00868941021415989,0.00809721023261952,0.00695578691202691,1992 Q4,1992
"164",1993-01-01,0.00773290320884931,0.00718393894213034,0.00869861624042461,0.00594600553297951,1993 Q1,1993
"165",1993-04-01,0.00697839538146228,0.00713269785742729,0.00862360236393219,0.0066973685241484,1993 Q2,1993
"166",1993-07-01,0.0048560622655404,0.00425532557013849,0.00592691889776777,0.00433780098735597,1993 Q3,1993
"167",1993-10-01,0.00758362821009864,0.00845671001822346,0.0071966290320397,0.00575461879769736,1993 Q4,1993
"168",1994-01-01,0.00479617226349323,0.00420168685369998,0.00714520740464424,0.00356468600003306,1994 Q1,1994
"169",1994-04-01,0.006132898268697,0.00487975872454121,0.0064516352814886,0.00556530032442254,1994 Q2,1994
"170",1994-07-01,0.00811912443850441,0.00899971460319568,0.00768741774268615,0.00715736380751421,1994 Q3,1994
"171",1994-10-01,0.00671594196543681,0.00549829563859788,0.00699525904979877,0.00468847989214352,1994 Q4,1994
"172",1995-01-01,0.00733581149021336,0.00751113124999627,0.0075757938084575,0.00488969370177787,1995 Q1,1995
"173",1995-04-01,0.00860078077259912,0.00813012608325009,0.00876649321218259,0.00579780537034506,1995 Q2,1995
"174",1995-07-01,0.0052562538888269,0.00404040953700513,0.00621506040343419,0.00408714889450954,1995 Q3,1995
"175",1995-10-01,0.00588044817689532,0.00536194314138537,0.00802225838914363,0.00437843223096101,1995 Q4,1995
"176",1996-01-01,0.00778719055176846,0.00666224982541625,0.00612747015209707,0.00554099035357198,1996 Q1,1996
"177",1996-04-01,0.00900906994236591,0.00991088389945396,0.00548280386588017,0.00666974289715669,1996 Q2,1996
"178",1996-07-01,0.00574897782692176,0.00459167746717312,0.00666063618954786,0.00424886830400275,1996 Q3,1996
"179",1996-10-01,0.00761424998524544,0.0084718655936499,0.00661656549212925,0.00679810317279876,1996 Q4,1996
"180",1997-01-01,0.00755671102256124,0.00775698782857138,0.00597730410845938,0.00441621709746973,1997 Q1,1997
"181",1997-04-01,0.00313185348379388,0.00128700146464746,0.00653402978064853,0.00250669532499165,1997 Q2,1997
"182",1997-07-01,0.00312207559250551,0.00128534722066372,0.00472534842642607,0.00262812240626963,1997 Q3,1997
"183",1997-10-01,0.00683444723029699,0.00640207052202241,0.00528946281739814,0.00314465667947156,1997 Q4,1997
"184",1998-01-01,0.00309119256967288,0.000637958554332576,0.00584455199628323,8.4853627543459e-05,1998 Q1,1998
"185",1998-04-01,0.00123380644892834,-0.0012763243596049,0.0052310494175525,0.00179438138472903,1998 Q2,1998
"186",1998-07-01,0.006146300848694,0.0050955524266001,0.00578036291549933,0.00307263205278037,1998 Q3,1998
"187",1998-10-01,0.00428004321977746,0.00190415798568979,0.00517391208796546,0.00262819628033902,1998 Q4,1998
"188",1999-01-01,0.00486915143381055,0.00506009934834277,0.00685716972613705,0.0019491133500982,1999 Q1,1999
"189",1999-04-01,0.00725956001280432,0.00691609169837309,0.00397840820280828,0.00565750637687888,1999 Q2,1999
"190",1999-07-01,0.00481059256034933,0.004376374599799,0.00452745538496323,0.00547330013597302,1999 Q3,1999
"191",1999-10-01,0.00836325065782159,0.00993180106808204,0.00563064550682814,0.00606334511866963,1999 Q4,1999
"192",2000-01-01,0.00711324872451986,0.00554359288485045,0.00671519031547135,0.00809143572834402,2000 Q1,2000
"193",2000-04-01,0.00940630098245559,0.0103881166369865,0.00556174959818436,0.00476924609830409,2000 Q2,2000
"194",2000-07-01,0.0104773950310876,0.0108828159934555,0.00663352349563388,0.00643638018980104,2000 Q3,2000
"195",2000-10-01,0.00692443620760463,0.00599522179389634,0.00604231445596266,0.00565680929844422,2000 Q4,2000
"196",2001-01-01,0.00972825984077881,0.0107016479117563,0.00709416344940742,0.00741299190420784,2001 Q1,2001
"197",2001-04-01,0.00454546237167464,0.00295246745326817,0.00650408796917626,0.00468166894447819,2001 Q2,2001
"198",2001-07-01,0.00565292630278823,0.00294377604401328,0.00699868267203914,0.000504099132481261,2001 Q3,2001
"199",2001-10-01,0.00112676068259045,-0.00235432716163548,0.00535046755283095,0.00039779357690136,2001 Q4,2001
"200",2002-01-01,0.000562904602535982,-0.00472534842642618,0.00691308257018257,0.00199982849588694,2002 Q1,2002
"201",2002-04-01,0.00896364545048177,0.00942847290981698,0.005285424566464,0.00738185841330218,2002 Q2,2002
"202",2002-07-01,0.00389647027912316,0.00292825977908836,0.00420831762578714,0.00514813453214749,2002 Q3,2002
"203",2002-10-01,0.00664454271866851,0.00583092031079314,0.00523561405394494,0.00465368734694346,2002 Q4,2002
